name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team
Elyjah Freeman,https://www.on3.com/db/elyjah-freeman-249483/,SF,FR,6-8,,Wellington,"(Palm Beach, FL)",93.89,,Committed,Lincoln Memorial,Auburn Tigers
Fatts Billups,https://www.on3.com/db/fatts-billups-4011/,SG,RS-SO,6-7,170,Varina,"(Richmond, VA)",91.37,,Entered,VCU,
George Turkson,https://www.on3.com/db/george-turkson-150948/,SF,FR,6-7,205,Bradford Christian Academy,"(Haverhill, MA)",89.00,,Committed,Texas A&M,Maryland Terrapins
Gus Larson,https://www.on3.com/db/gus-larson-250278/,PF,SR,6-10,215,Northfield Mount Hermon,"(New Canaan, CT)",,,Entered,California,
Ismaël Diouf,https://www.on3.com/db/ismal-diouf-244314/,PF,JR,6-9,215,,(Quebec),,,Entered,NC State,
JJ Rembert,https://www.on3.com/db/jj-rembert-240569/,PG,FR,5-11,,Legacy Early College,"(Fort Mill, SC)",,,Entered,Cincinnati,
Ja'Queze Kirby,https://www.on3.com/db/jaqueze-kirby-50677/,SF,SR,6-6,195,Jeff Davis,"(Hazlehurst, GA)",86.00,,Entered,Augusta,
Jacolb Cole,https://www.on3.com/db/jacolb-cole-52400/,PF,RS-FR,6-7,185,Link Academy,"(Bellaire, TX)",89.00,,Committed,Oklahoma,McNeese State Cowboys
Jaden Bobbet,https://www.on3.com/db/jaden-bobbet-250254/,PG,SR,6-2,190,Cushing Academy,"(Rye, NH)",,,Entered,Indiana,
Jadin Booth,https://www.on3.com/db/jadin-booth-250373/,PG,RS-SR,6-2,185,Westside,"(Omaha, NE)",89.00,,Entered,Florida Southern,
Jahari Long,https://www.on3.com/db/jahari-long-52911/,PG,SR,6-3,165,Episcopal,"(Bellaire, TX)",86.45,,Entered,Maryland,
Jalen Cooper,https://www.on3.com/db/jalen-cooper-250101/,SF,SR,6-6,200,Anclote,"(Saint Petersburg, FL)",,,Entered,California State University Fullerton,
Jalen Warley,https://www.on3.com/db/jalen-warley-54576/,PG,SR,6-4,175,Westtown School,"(Norristown, PA)",89.96,,Committed,Virginia,Gonzaga University Bulldogs
Jalyke Gaines-Wyatt,https://www.on3.com/db/jalyke-gaines-wyatt-250302/,PG,SO,6-0,186,St. Anthony's,"(Wyandanch, NY)",88.00,,Entered,Alcorn State,
James Evans,https://www.on3.com/db/james-evans-150945/,SF,FR,6-5,205,West Ranch,"(Stevenson Ranch, CA)",86.00,,Entered,UNLV,
Janusz Ratowski,https://www.on3.com/db/janusz-ratowski-246297/,PF,FR,6-11,225,Poland,"(College Station, TX)",,,Entered,Texas A&M,
