Name,ProfileURL,Position,Team,GP,GS,MPG,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,GP,GS,MPG,OREB,DREB,REB,RPG,GP,GS,AST,APG,TO,TOPG,A/TO,GP,GS,STL,SPG,GP,GS,BLK,BPG
Aly Tounkara,https://www.cbssports.com/college-basketball/players/29557347/aly-tounkara/,F,LINDEN,29,6,14.9,3.5,44,73,60.3,0,1,0.0,13,38,34.2,29,6,14.9,61,74,135,4.7,29,6,10,0.3,19,0.7,0.5,29,6,18,0.60,29,6,26,0.90
Alyn Breed,https://www.cbssports.com/college-basketball/players/3177603/alyn-breed/,G,MCNSE,2,2,30,17.5,12,23,52.2,2,4,50.0,9,9,100.0,2,2,30,2,4,6,3.0,2,2,3,1.5,8,4.0,0.4,2,2,3,1.50,2,2,0,0.00
Amaan Sandhu,https://www.cbssports.com/college-basketball/players/28951850/amaan-sandhu/,C,MANH,1,0,3,0.0,0,1,0.0,0,0,—,0,0,—,1,0,3,0,0,0,0.0,1,0,0,0.0,0,0.0,—,1,0,0,0.00,1,0,1,1.00
Amadou Doumbia,https://www.cbssports.com/college-basketball/players/29558970/amadou-doumbia/,F,UMASS,15,0,4.3,1.6,9,17,52.9,1,3,33.3,5,11,45.5,15,0,4.3,9,13,22,1.5,15,0,0,0.0,3,0.2,0.0,15,0,3,0.20,15,0,3,0.20
Amael L'Etang,https://www.cbssports.com/college-basketball/players/29558625/amael-letang/,F,DAYTON,34,18,16.9,7.1,87,171,50.9,22,65,33.8,45,70,64.3,34,18,16.9,47,100,147,4.3,34,18,41,1.2,35,1.0,1.2,34,18,16,0.50,34,18,33,1.00
Amahrie Simpkins,https://www.cbssports.com/college-basketball/players/29233428/amahrie-simpkins/,G,MORGAN,26,20,27.3,12.2,130,233,55.8,9,24,37.5,47,83,56.6,26,20,27.3,38,78,116,4.5,26,20,56,2.2,61,2.3,0.9,26,20,22,0.80,26,20,16,0.60
Amani Drummond,https://www.cbssports.com/college-basketball/players/28975161/amani-drummond/,G,UIW,14,0,3.5,1.0,6,11,54.5,2,4,50.0,0,0,—,14,0,3.5,2,6,8,0.6,14,0,1,0.1,9,0.6,0.1,14,0,2,0.10,14,0,1,0.10
Amani Hansberry,https://www.cbssports.com/college-basketball/players/29230992/amani-hansberry/,F,WVU,31,24,23.5,9.8,114,266,42.9,35,120,29.2,42,56,75.0,31,24,23.5,68,132,200,6.5,31,24,44,1.4,45,1.5,1.0,31,24,22,0.70,31,24,12,0.40
Amani Lyles,https://www.cbssports.com/college-basketball/players/28952630/amani-lyles/,F,AKRON,34,7,18.1,7.6,104,183,56.8,20,63,31.7,31,50,62.0,34,7,18.1,66,111,177,5.2,34,7,52,1.5,41,1.2,1.3,34,7,21,0.60,34,7,42,1.20
Amar Augillard,https://www.cbssports.com/college-basketball/players/26778062/amar-augillard/,G,FRESNO,11,4,20.3,13.3,47,126,37.3,18,74,24.3,34,41,82.9,11,4,20.3,6,21,27,2.5,11,4,6,0.5,21,1.9,0.3,11,4,10,0.90,11,4,0,0.00
Amar Kuljuhovic,https://www.cbssports.com/college-basketball/players/29234944/amar-kuljuhovic/,F,NDAK,33,33,24.6,10.7,124,240,51.7,11,46,23.9,93,143,65.0,33,33,24.6,91,133,224,6.8,33,33,60,1.8,62,1.9,1.0,33,33,12,0.40,33,33,7,0.20
Amar'e Marshall,https://www.cbssports.com/college-basketball/players/26775746/amare-marshall/,G,ALBANY,31,31,30.4,14.0,153,372,41.1,51,145,35.2,77,96,80.2,31,31,30.4,22,61,83,2.7,31,31,76,2.5,70,2.3,1.1,31,31,47,1.50,31,31,7,0.20
