name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team,ProfileURL,Position,Team,GP,GS,MPG,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,GP.1,GS.1,MPG.1,OREB,DREB,REB,RPG,GP.2,GS.2,AST,APG,TO,TOPG,A/TO,GP.3,GS.3,STL,SPG,GP.4,GS.4,BLK,BPG
Adam Clark,https://www.on3.com/db/adam-clark-220288/,PG,SO,5-10,155,West Catholic Prep High School,"(Philadelphia, PA)",90.36,,Committed,Merrimack,Seton Hall Pirates,https://www.cbssports.com/college-basketball/players/29232516/adam-clark/,G,MERMAK,33,33,37,19.8,257,576,44.6,20,70,28.6,119,153,77.8,33,33,37,40,108,148,4.5,33,33,198,6.0,106,3.2,1.9,33,33,88,2.70,33,33,2,0.10
Adam Miller,https://www.on3.com/db/adam-miller-1263/,PG,RS-SR,6-3,190,Morgan Park HS,"(Chicago, IL)",92.95,,Entered,Arizona State,,https://www.cbssports.com/college-basketball/players/3178154/adam-miller/,G,ARIZST,30,30,29.7,9.8,101,225,44.9,57,133,42.9,34,45,75.6,30,30,29.7,14,54,68,2.3,30,30,56,1.9,42,1.4,1.3,30,30,31,1.00,30,30,1,0.00
Adam Njie,https://www.on3.com/db/adam-njie-156622/,CG,FR,6-2,175,Cardinal Hayes,"(Bronx, NY)",88.50,,Committed,Iona,Dayton Flyers,https://www.cbssports.com/college-basketball/players/29559114/adam-njie-jr/,G,IONA,33,28,29,12.4,156,378,41.3,31,106,29.2,65,84,77.4,33,28,29,20,74,94,2.8,33,28,140,4.2,95,2.9,1.5,33,28,56,1.70,33,28,2,0.10
Adante Holiman,https://www.on3.com/db/adante-holiman-1428/,PG,JR,5-9,160,McAlester,"(Mcalester, OK)",,,Committed,Georgia Southern,Arizona State Sun Devils,https://www.cbssports.com/college-basketball/players/28955795/adante-holiman/,G,GASOU,25,19,30,16.9,137,328,41.8,81,210,38.6,68,85,80.0,25,19,30,8,46,54,2.2,25,19,57,2.3,43,1.7,1.3,25,19,29,1.20,25,19,4,0.20
Aday Mara,https://www.on3.com/db/aday-mara-179483/,C,SO,7-2,245,Casademont Zaragoza,(Zaragoza),95.29,,Committed,UCLA,Michigan Wolverines,https://www.cbssports.com/college-basketball/players/29233479/aday-mara/,C,UCLA,33,1,13.2,6.4,85,144,59.0,0,0,—,41,71,57.7,33,1,13.2,60,73,133,4.0,33,1,34,1.0,28,0.8,1.2,33,1,6,0.20,33,1,53,1.60
Addison Patterson,https://www.on3.com/db/addison-patterson-1475/,SF,-,6-6,180,Bella Vista College Preparatory School,"(Scottsdale, AZ)",89.00,,Entered,Northwestern State,,https://www.cbssports.com/college-basketball/players/3148390/addison-patterson/,F,NWST,31,24,28.4,13.0,137,315,43.5,17,64,26.6,112,150,74.7,31,24,28.4,42,130,172,5.5,31,24,102,3.3,80,2.6,1.3,31,24,43,1.40,31,24,14,0.50
Adrian Wooley,https://www.on3.com/db/adrian-wooley-236938/,SG,FR,6-3,185,Paul W Bryant,"(Cottondale, AL)",97.60,,Committed,Kennesaw State,Louisville Cardinals,https://www.cbssports.com/college-basketball/players/29559480/adrian-wooley/,G,KENSAW,33,32,33.5,18.8,208,406,51.2,73,173,42.2,130,169,76.9,33,32,33.5,43,130,173,5.2,33,32,118,3.6,109,3.3,1.1,33,32,47,1.40,33,32,3,0.10
Ahamad Bynum,https://www.on3.com/db/ahamad-bynum-1820/,CG,RS-JR,6-1,175,Simeon,"(Chicago, IL)",,,Entered,UTEP,,https://www.cbssports.com/college-basketball/players/26775455/ahamad-bynum/,G,UTEP,29,7,19.9,10.3,97,236,41.1,68,153,44.4,37,46,80.4,29,7,19.9,3,46,49,1.7,29,7,26,0.9,30,1.0,0.9,29,7,24,0.80,29,7,5,0.20
Ahmad Nowell,https://www.on3.com/db/ahmad-nowell-1887/,SG,FR,6-0,185,Imhotep Institute,"(Philadelphia, PA)",90.93,,Committed,Connecticut,VCU Rams,https://www.cbssports.com/college-basketball/players/29556219/ahmad-nowell/,G,UCONN,18,0,6.4,1.5,10,28,35.7,3,16,18.8,4,7,57.1,18,0,6.4,7,10,17,0.9,18,0,20,1.1,9,0.5,2.2,18,0,4,0.20,18,0,3,0.20
Ahmad Robinson,https://www.on3.com/db/ahmad-robinson-241575/,PG,SR,5-10,172,Roselle Catholic,"(West Orange, NJ)",,,Entered,Mercer,,https://www.cbssports.com/college-basketball/players/29234166/ahmad-robinson/,G,MERCER,33,33,31.5,16.9,184,440,41.8,50,159,31.4,140,191,73.3,33,33,31.5,21,143,164,5.0,33,33,165,5.0,131,4.0,1.3,33,33,61,1.80,33,33,6,0.20
Aidan Braccia,https://www.on3.com/db/aidan-braccia-1981/,PG,RS-SO,6-1,160,Sacred Heart SchoolsAtherton,"(Atherton, CA)",,,Entered,Belmont University,,https://www.cbssports.com/college-basketball/players/28955612/aidan-braccia/,G,BELMONT,2,0,4,1.5,1,2,50.0,1,2,50.0,0,0,—,2,0,4,0,0,0,0.0,2,0,1,0.5,0,0.0,—,2,0,0,0.00,2,0,0,0.00
Aidan Mahaney,https://www.on3.com/db/aidan-mahaney-2014/,PG,JR,6-2,150,Campolindo,"(Moraga, CA)",90.00,,Entered,Connecticut,,https://www.cbssports.com/college-basketball/players/28952333/aidan-mahaney/,G,UCONN,34,5,12.2,4.5,52,138,37.7,23,64,35.9,25,33,75.8,34,5,12.2,4,23,27,0.8,34,5,44,1.3,20,0.6,2.2,34,5,7,0.20,34,5,0,0.00
Aidan Shaw,https://www.on3.com/db/aidan-shaw-2049/,SF,JR,6-8,195,Blue Valley,"(Stilwell, KS)",88.50,,Committed,Missouri,Boston College Eagles,https://www.cbssports.com/college-basketball/players/28953959/aidan-shaw/,G,MIZZOU,28,0,9.1,2.6,30,47,63.8,4,8,50.0,8,16,50.0,28,0,9.1,19,31,50,1.8,28,0,6,0.2,12,0.4,0.5,28,0,10,0.40,28,0,11,0.40
