name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team
Vladimer Salaridze,https://www.on3.com/db/vladimer-salaridze-250078/,PF,JR,6-7,230,West Seattle,"(Seattle, WA)",85.00,,Entered,UT Martin,N/A
Chase Dawson,https://www.on3.com/db/chase-dawson-250096/,PG,FR,6-0,170,Flight 22 Prep Academy,"(Durham, NC)",84.00,,Entered,Mount Olive,N/A
RJ Johnson,https://www.on3.com/db/rj-johnson-250029/,PG,SR,6-1,185,Charlotte Latin School,"(Matthews, NC)",87.00,,Entered,Charleston Southern,Rhode Island
Greg Gordon,https://www.on3.com/db/greg-gordon-241406/,SG,SR,6-5,210,Coral Springs,"(Chicago, IL)",88.00,,Entered,UAB,N/A
Kendall Taylor,https://www.on3.com/db/kendall-taylor-250095/,SG,SR,6-5,205,Capital Christian,"(Sacramento, CA)",87.00,,Entered,Wingate,N/A
Mikhail Pocknett,https://www.on3.com/db/mikhail-pocknett-241352/,PF,SO,6-6,225,Flight 22 Prep Academy,"(Wilmington, NC)",88.00,,Entered,King University,N/A
Devon Hancock,https://www.on3.com/db/devon-hancock-155337/,SG,SR,6-3,190,Horn,"(Dallas, TX)",,,Entered,Louisiana Monroe,N/A
Jerry Ngopot,https://www.on3.com/db/jerry-ngopot-179056/,PF,RS-JR,6-11,250,NBA Academy Africa,(Bangui),85.00,,Entered,Louisiana Monroe,Coastal Carolina
George Kimble III,https://www.on3.com/db/george-kimble-iii-250084/,SG,SO,6-2,184,Berkeley Prep,"(Tampa, FL)",,,Entered,Eastern Kentucky,N/A
Rasheed Jones,https://www.on3.com/db/rasheed-jones-250419/,SF,RS-SO,6-6,180,Marion,"(Marion, IN)",,,Entered,Coastal Carolina,N/A
Josiah Shackleford,https://www.on3.com/db/josiah-shackleford-68217/,PF,SR,6-8,200,Word Of God Christian Academy,"(Ayden, NC)",88.00,,Entered,Georgia Southwestern,N/A
Devin Hines,https://www.on3.com/db/devin-hines-198354/,SG,SR,6-4,170,Saint Andrew's School,"(West Palm Beach, FL)",84.00,,Entered,Lafayette,N/A
Ubongabasi Etim,https://www.on3.com/db/ubongabasi-etim-174051/,PF,RS-JR,6-9,210,North Little Rock,"(Richmond, CA)",85.00,,Entered,Central Arkansas,N/A
Donovan Brown,https://www.on3.com/db/donovan-brown-250093/,SG,FR,6-2,180,Waubonsee Community College,"(Bolingbrook, IL)",89.00,,Entered,Florida Institute of Technology,Massachusetts
Toby Harris,https://www.on3.com/db/toby-harris-250094/,SF,SR,6-8,,Durham Academy,"(Durham, NC)",89.00,,Entered,Brandeis,Iona
Ja'Queze Kirby,https://www.on3.com/db/jaqueze-kirby-50677/,SF,SR,6-6,195,Jeff Davis,"(Hazlehurst, GA)",86.00,,Entered,Augusta,N/A
Yassine Gharram,https://www.on3.com/db/yassine-gharram-122336/,PG,SR,6-2,190,Foothills Christian,"(El Cajon, CA)",,,Entered,Yale,N/A
